ADDRESS,INTERSECTION,RECORDUDATE,RECORD_TIME,VEHICLE_TYPE,LICENSE,STATE,COUNTY,TRACT,BLOCK_GROUP
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,8/2/2014,14:49:37,emergency,EAU-543,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/15/2014,12:17:00,police,YTB-723,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,7/27/2014,02:09:47,truck,MGU-089,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,8/7/2014,11:58:20,ambulance,PCI-652,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,7/23/2014,12:02:46,ambulance,PRO-498,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/11/2014,14:02:15,sedan,DVY-327,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/4/2014,19:24:09,police,PFI-918,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/26/2014,07:22:17,suv,AUD-532,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,8/1/2014,10:40:28,emergency,EZM-499,,,,
2800 W 31ST,31ST AND CALIFORNIA,7/13/2014,09:43:51,truck,GJA-878,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/16/2014,03:29:38,police,LTG-537,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,8/7/2014,05:01:22,sedan,GPK-995,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/17/2014,07:16:42,ambulance,KEI-851,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,8/3/2014,09:17:51,police,SSZ-081,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/11/2014,06:51:10,suv,IJS-547,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,7/26/2014,19:17:26,sedan,OVV-606,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,8/6/2014,12:51:29,sedan,RVE-597,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/10/2014,18:39:03,suv,CVB-836,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/6/2014,15:26:16,sedan,GJZ-518,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,8/3/2014,10:53:25,suv,RRJ-166,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/12/2014,05:21:38,ambulance,YAO-254,,,,
2800 W 31ST,31ST AND CALIFORNIA,7/8/2014,01:26:46,emergency,YYB-836,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/30/2014,21:22:02,sedan,OBM-712,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,7/23/2014,10:35:59,sedan,YSM-919,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,8/7/2014,20:32:40,sedan,FNH-441,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/17/2014,09:11:08,sedan,BCZ-381,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/19/2014,07:36:29,police,HJF-715,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,8/1/2014,17:44:46,sedan,JGP-805,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/6/2014,22:24:46,suv,RIO-842,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,8/4/2014,22:27:31,truck,NHE-065,,,,
2800 W 31ST,31ST AND CALIFORNIA,7/11/2014,12:17:29,ambulance,UYJ-861,,,,
2800 W 31ST,31ST AND CALIFORNIA,7/29/2014,06:16:44,sedan,GKZ-092,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,8/7/2014,03:45:51,police,ORK-044,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,8/5/2014,19:45:29,police,DYS-730,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/15/2014,07:51:43,police,ERU-341,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/29/2014,03:20:46,suv,HOI-434,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,8/3/2014,14:51:49,truck,EYZ-072,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/13/2014,02:28:46,emergency,JNY-962,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,8/8/2014,06:11:51,police,JKD-148,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/2/2014,03:46:05,emergency,KCJ-526,,,,
0 N HAMLIN BOULEVARD,HAMLIN AND MADISON,7/23/2014,00:19:08,ambulance,IZS-834,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/21/2014,01:36:13,suv,NNP-569,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/14/2014,13:39:43,suv,CLZ-707,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/11/2014,07:21:11,suv,OKT-273,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,8/3/2014,16:03:17,suv,NHU-654,,,,
2800 W 31ST,31ST AND CALIFORNIA,8/5/2014,15:40:51,suv,GDC-746,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,7/2/2014,21:28:56,police,LBU-363,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,8/2/2014,15:18:09,suv,HMR-365,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/16/2014,19:13:35,police,AGS-162,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/2/2014,12:59:03,ambulance,OLS-889,,,,
0 N HAMLIN BOULEVARD,HAMLIN AND MADISON,7/1/2014,01:00:42,police,CBZ-672,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/8/2014,19:04:54,police,KDK-991,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/26/2014,23:08:37,ambulance,DNT-525,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/15/2014,05:41:30,police,PUN-694,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/12/2014,14:18:24,truck,FAH-884,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/26/2014,10:55:07,suv,SAV-782,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/30/2014,14:20:43,emergency,OBJ-177,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/19/2014,20:34:23,sedan,JNY-146,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/5/2014,13:19:43,truck,LDF-162,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/4/2014,05:28:30,ambulance,LJN-901,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/18/2014,14:59:36,truck,HNS-999,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/12/2014,01:16:21,ambulance,YRG-293,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/30/2014,19:09:31,police,RLF-191,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/3/2014,05:07:26,ambulance,LIF-451,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,8/5/2014,17:16:47,emergency,HBE-418,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,7/14/2014,17:52:39,emergency,CKS-086,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,7/18/2014,11:34:21,sedan,TNO-245,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,7/17/2014,11:02:58,emergency,DVF-422,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/21/2014,14:58:28,suv,PKN-103,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,8/4/2014,07:50:49,sedan,FYO-754,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/23/2014,19:14:30,emergency,HMC-719,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/16/2014,10:58:20,sedan,LNG-517,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,7/1/2014,07:21:50,truck,GUL-836,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/4/2014,04:39:18,police,YGB-498,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,8/1/2014,00:15:50,emergency,BSO-360,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/4/2014,12:10:24,sedan,VMG-712,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,7/16/2014,14:32:53,emergency,AGF-488,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/22/2014,17:08:46,emergency,LFG-331,,,,
1600 W IRVING PARK ROA,ASHLAND AND IRVING PARK,7/23/2014,17:20:18,sedan,YLU-373,,,,
11500 S HALSTED STREE,115TH AND HALSTED,7/1/2014,21:08:14,police,YOY-818,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,7/11/2014,23:50:55,sedan,CMJ-922,,,,
0 N ASHLAND AVE,ASHLAND AND MADISON,7/30/2014,01:18:31,truck,ZPM-043,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/10/2014,14:52:41,suv,FPM-755,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/21/2014,15:19:03,sedan,ZTL-784,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,8/7/2014,03:26:57,sedan,LHO-287,,,,
0 N HAMLIN BOULEVARD,HAMLIN AND MADISON,7/27/2014,16:39:48,truck,RSN-166,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,7/20/2014,22:48:55,ambulance,CVN-195,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/29/2014,11:33:44,suv,GNL-207,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/18/2014,01:47:56,truck,LCV-377,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/28/2014,15:44:12,emergency,TSG-761,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/27/2014,23:45:38,sedan,CYS-481,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/25/2014,22:15:20,police,EPK-946,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/23/2014,11:56:30,sedan,YGJ-434,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/22/2014,08:59:40,emergency,KTD-366,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/6/2014,01:41:01,sedan,ADF-898,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/22/2014,17:51:07,truck,PYF-125,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/10/2014,18:06:20,ambulance,UBY-966,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,8/3/2014,20:22:00,police,JUO-899,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,8/1/2014,10:29:51,sedan,HGJ-018,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,8/1/2014,10:26:14,suv,MEI-357,,,,
2800 N KIMBALL AVENUE,KIMBALL AND DIVERSEY,7/2/2014,10:34:33,ambulance,LVC-911,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,8/2/2014,10:47:53,suv,IPE-540,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/7/2014,03:23:16,emergency,KUY-646,,,,
1600 N HOMAN AVENUE,HOMAN/KIMBALL AND NORTH,8/4/2014,15:23:09,ambulance,MJI-192,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/16/2014,05:25:43,ambulance,JJH-979,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/22/2014,09:54:38,emergency,FNM-262,,,,
0 S CENTRAL AVENUE,MADISON AND CENTRAL,7/5/2014,11:03:56,ambulance,DYV-435,,,,
1600 W IRVING PARK ROA,ASHLAND AND IRVING PARK,7/25/2014,04:23:54,truck,OMR-784,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,8/6/2014,22:02:33,emergency,SRP-731,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/23/2014,10:59:17,sedan,OLC-335,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/18/2014,04:08:10,suv,CFU-957,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/14/2014,03:10:51,police,AVL-643,,,,
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/31/2014,03:45:45,police,LHJ-820,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/12/2014,04:39:21,truck,GFY-232,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/10/2014,18:21:09,suv,CYD-678,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/9/2014,01:01:21,emergency,MJZ-907,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/17/2014,16:49:04,emergency,JRH-655,,,,
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/24/2014,18:36:37,ambulance,APD-718,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/4/2014,11:06:02,truck,JLG-046,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,7/17/2014,21:45:26,ambulance,FZR-441,,,,
10300 S HALSTED STREE,HALSTED AND 103RD,7/2/2014,21:45:56,truck,VUN-291,,,,
2800 W IRVING PARK ROA,IRVING PARK AND CALIFORNIA,8/18/2014,22:14:33,suv,RZM-249,,,,
5200 N PULASKI RD,PULASKI AND FOSTER,9/16/2014,22:06:39,suv,HOE-540,17,031,130200,1
1600 W DIVERSEY PARKWA,ASHLAND AND DIVERSEY,7/1/2014,00:56:13,police,EAD-101,,,,
4000 W NORTH AVENUE,PULASKI AND NORTH,7/25/2014,09:54:18,emergency,SIZ-388,17,031,230500,1
6400 W IRVING PK,IRVING PARK AND NARRAGANSETT,9/11/2014,03:27:42,police,RZI-252,17,031,170100,1
3100 S ARCHER AVENUE,ASHLAND AND ARCHER,7/6/2014,13:27:02,police,OME-114,17,031,840400,1
4800 W PETERSON AVENUE,CICERO AND PETERSON,9/25/2014,13:34:17,sedan,VHJ-691,17,031,120200,4
7100 S ASHLAND,71ST AND ASHLAND,9/28/2014,17:21:13,sedan,KCN-045,17,031,672000,1
9900 S HALSTED ST,99TH AND HALSTED,10/6/2014,18:24:29,ambulance,LSU-882,17,031,730600,3
5500 S KEDZIE AVENUE,55TH AND KEDZIE,7/21/2014,23:52:08,sedan,VVB-167,17,031,630900,1
2400 W DIVERSEY AVENUE,DIVERSEY AND WESTERN,10/9/2014,19:57:46,ambulance,RFO-520,17,031,210900,1
5600 W IRVING PARK ROAD,CENTRAL AND IRVING PARK,8/3/2014,21:24:28,suv,PKD-349,17,031,150402,1
6300 S DAMEN AVENUE,DAMEN AND 63RD,8/16/2014,02:52:35,ambulance,MAD-396,17,031,671400,1
11500 S HALSTED STREE,115TH AND HALSTED,8/19/2014,12:13:32,suv,HGK-437,,,,
2400 N LARAMIE AVENUE,LARAMIE AND FULLERTON,9/23/2014,23:27:41,police,NPK-908,17,031,190702,3
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,8/15/2014,02:17:28,emergency,VDU-679,,,,
7100 S KEDZIE AVENUE,KEDZIE AND 71ST,9/5/2014,12:41:13,police,BIO-002,17,031,661100,4
2400 W ADDISON,WESTERN AND ADDISON,7/11/2014,21:34:33,ambulance,ZNC-746,17,031,843700,1
6400 W FULLERTON AVENU,FULLERTON AND NARRAGANSETT,10/3/2014,22:35:39,ambulance,UUY-340,17,031,831500,1
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,8/14/2014,00:40:04,suv,PMG-119,,,,
3400 W NORTH AVE,HOMAN/KIMBALL AND NORTH,10/9/2014,20:19:33,truck,IYJ-181,17,031,230200,1
3200 N LAKESHORE DRIV,LAKE SHORE DR AND BELMONT,8/7/2014,19:57:52,truck,PAU-702,17,031,061902,4
3100 S ASHLAND AVENUE,ASHLAND AND ARCHER,8/29/2014,21:43:20,emergency,KTE-037,17,031,840400,1
7200 N WESTERN AVENUE,WESTERN AND TOUHY,9/9/2014,22:55:04,ambulance,TMD-704,17,031,020200,2
2400 W VAN BUREN STREE,VAN BUREN AND WESTERN,7/7/2014,20:33:52,sedan,VVV-262,,,,
7900 S JEFFERY BOULEV,JEFFERY AND 79TH,7/13/2014,22:20:35,ambulance,ZGI-679,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,7/17/2014,23:22:28,suv,PTE-502,,,,
4700 W IRVING PARK ROA,IRVING PARK AND KILPATRICK,7/23/2014,14:17:24,suv,PVG-358,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/23/2014,06:05:42,sedan,PNF-512,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/6/2014,11:06:12,emergency,YGN-143,,,,
3700 W IRVING PARK ROA,ELSTON AND IRVING PARK,7/22/2014,14:16:21,suv,FLY-941,,,,
0 N HAMLIN BOULEVARD,HAMLIN AND MADISON,8/7/2014,03:16:47,suv,RKO-836,,,,
3100 S DR MARTIN L KING,31ST ST AND MARTIN LUTHER KING DRIVE,7/25/2014,13:50:55,sedan,LKE-692,,,,
5500 S WENTWORTH AVEN,WENTWORTH AND GARFIELD,7/2/2014,09:29:29,ambulance,ICN-594,,,,
5200 W IRVING PARK ROA,IRVING PARK AND LARAMIE,8/15/2014,17:10:58,sedan,YOF-615,,,,
